"name","rating","category","cuisine","address","district","average_price"
"Co_Mai_-_Banh_Khot_&_Banh_Mi_Hap","4.8","Bistro","Vietnam","A18/19_Quoc_Lo_50,_Xa_Binh_Hung","Binh_Chanh","20,000 "
"Ly_Lan_-_Quan_An_&_Cafe","4.5","Cafe","Vietnam","B9_Khu_Dan_Cu_Hanh_Phuc,_Nguyen_Van_Linh","Binh_Chanh","15,000 "
"Tra_Sua_12K_-_Pham_Hung","3.4","Cafe","Vietnam","Hem_C7/21C_Pham_Hung","Binh_Chanh","20,000 "
"Ngon_Ngon_-_Banh_Mi_&_Banh_Uot","4.45","Street_food","Vietnam","D13/12A_Duong_Dinh_Cuc,_Xa_Tan_Kien","Binh_Chanh","15,000 "
"Quan_Yen_-_Bun_Rieu_&_Bun_Bo_-_Pham_Hung","3.4","Bistro","Vietnam","Hem_51_(C5)_Pham_Hung,_X._Binh_Hung","Binh_Chanh","20,000 "
"Lotteria_-_Vinh_Loc","3.8","Restaurant","Korea","D19/16C_Vinh_Loc_B","Binh_Chanh","255,000 "
"Chao_Long_Mat_&_Ca_-_Pham_Hung","3.4","Street_food","Vietnam","C9/2_Pham_Hung,_P._Binh_Hung","Binh_Chanh","35,000 "
"Mr_Thinh_-_Khoai_Lac,_Chuoi_Lac_&_Sake_Lac","4","Street_food","Vietnam","C9/4A1_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","17,500 "
"Mut_Dua_Ngoc_Giau","3.4","Street_food","Vietnam","Duong_So_9A","Binh_Chanh","20,000 "
"Com_Ga_Xoi_Mo_Frenzy_-_Vinh_Loc_A","3.7","Bistro","Vietnam","F8/38_Ap_6,_P._Vinh_Loc_A","Binh_Chanh","20,000 "
"Tea_&_Time_-_Tra_Sua","4.6","Cafe","Vietnam","Thoi_Hoa,_Xa_Vinh_Loc_A","Binh_Chanh","14,000 "
"San_San_-_Chao_Ech_Singapore","5","Bistro","Singapore","D19/23/12A_Vinh_Loc,_Ap_4A,_P._Vinh_Loc_B","Binh_Chanh","35,000 "
"LoveGarden_Cafe","3","Cafe","Vietnam","Duong_So_6B_,_Vinh_Loc_B","Binh_Chanh","20,000 "
"Sinh_To_Trung_Son","3.4","Cafe","Vietnam","16C_Duong_So_8,_Xa_Binh_Hung","Binh_Chanh","22,500 "
"Trai_Cay_To_-_Pham_Hung","3.1","Street_food","Vietnam","C6/27A_Pham_Hung,_X._Binh_Hung","Binh_Chanh","12,500 "
"Co_Tuyet_-_Sinh_To_&_Ca_Cao_Dua","3.65","Cafe","Vietnam","31_Duong_So_9","Binh_Chanh","20,000 "
"An_Vat_Ty_Pun_-_Banh_Trang_Ha_Cao_&_Mi_Tron_-_Quoc_Lo_50","3.3","Shop_Online","Vietnam","A29/37C_Quoc_Lo_50,_Xa_Binh_Hung_(Hem_A27/7_PNJ)","Binh_Chanh","50,000 "
"Banh_Mi_Ha_Noi_-_Pham_Hung","3.8","Bakery","Vietnam","C4/14D2_Pham_Hung","Binh_Chanh","12,500 "
"Hoa_Bay_-_Tra_Sua_&_My_Cay","4.3","Bistro","Vietnam","10/9C_Doan_Nguyen_Tuan,_Xa_Tan_Quy_Tay","Binh_Chanh","25,000 "
"Quan_An_So_1_-_Trung_Son","3.7","Bistro","Vietnam","68_KDC_Trung_Son,_Duong_So_9","Binh_Chanh","17,500 "
"Banh_Mi_Truong_An","3.4","Bakery","Vietnam","A12/36_Quoc_Lo_50,_Xa_Phong_Phu","Binh_Chanh","12,500 "
"Song_Huy_-_CLB_Cafe_Chim_Canh","4.15","Cafe","Vietnam","2_Duong_So_1C,_P._Binh_Hung","Binh_Chanh","29,500 "
"Hu_Tieu_Binh_Dan_-_Tran_Dai_Nghia","3.65","Bistro","Vietnam","B19/402_Tran_Dai_Nghia","Binh_Chanh","12,500 "
"Cool_-_Sinh_To_&_Cafe","4.65","Cafe","Vietnam","C8/4B1_Pham_Hung","Binh_Chanh","17,500 "
"Banh_Ngot_-_Pham_Hung","3.6","Street_food","Vietnam","C5/10BA9_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","20,000 "
"Tan_An_-_Lo_Banh_Mi_Dac_Ruot","3.5","Bakery","Vietnam","A11/4_Quoc_Lo_50,_Xa_Binh_Hung","Binh_Chanh","135,000 "
"Khang_-_Tra_Sua_Dai_Loan_&_Bap_Rim_Kho_Bo","3.65","Street_food","Vietnam","F7/20A_Duong_So_6B,_Xa_Vinh_Loc_B","Binh_Chanh","15,000 "
"Bo_La_Lot_Xuan_Cuong","3.5","Bistro","Vietnam","D5/35_Quoc_Lo_50,_Xa_Phong_Phu","Binh_Chanh","20,000 "
"Subi_-_Nuoc_Cot_Bi_Dao_-_Quoc_Lo_50","4.4","Street_food","Vietnam","A11/2_Quoc_Lo_50,_Xa_Binh_Hung","Binh_Chanh","15,000 "
"Tra_Sua_&_Sinh_To","3.4","Street_food","Vietnam","C3/19A_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","15,000 "
"Chao_Long_Chanh_Ot","4.7","Street_food","Vietnam","C5/13_Pham_Hung,_P._Binh_Hung","Binh_Chanh","20,000 "
"Hu_Tieu_-_Duong_So_1","3.5","Bistro","Vietnam","Duong_So_1,_Xa_Binh_Hung","Binh_Chanh","12,500 "
"Tyrex_Coffee","3.35","Cafe","Vietnam","100_-_102_Duong_So_9A,_KDC_Trung_Son,_Xa_Binh_Hung","Binh_Chanh","22,500 "
"Hien_Ky_Mi_Gia","3.35","Bistro","China","245_Duong_So_9A,_KDC_Trung_Son,_Xa_Binh_Hung","Binh_Chanh","37,500 "
"Nuoc_Thao_Moc_Nhu_Y","4.9","Street_food","Vietnam","C19_Duong_So_9,_Xa_Binh_Hung","Binh_Chanh","17,500 "
"Cafe_Lam_Son","4.2","Cafe","Vietnam","B5/121_Quoc_Lo_50,_Xa_Phong_Phu","Binh_Chanh","37,500 "
"Thanh_Huy_2_-_Tra_Sua_&_Sinh_To","3.9","Cafe","Vietnam","B12/5_Tran_Dai_Nghia","Binh_Chanh","15,000 "
"Phuong_Nam_Cafe_-_Tran_Dai_Nghia","3.9","Cafe","Vietnam","16B6F_Tran_Dai_Nghia","Binh_Chanh","12,500 "
"Bun_Rieu_Cua,_Hu_Tieu_&_Canh_Bun","3.9","Bistro","Vietnam","Hem_51_Pham_Hung,_P._Binh_Hung","Binh_Chanh","20,000 "
"Coffee_77","3.9","Cafe","Vietnam","318_Cao_Lo,_P._4","Binh_Chanh","11,000 "
"Ga_Ran_Momo","3.2","Street_food","Vietnam","D9/5_Duong_Dinh_Cuc","Binh_Chanh","59,500 "
"Simon_-_Coffee_&_Milk_Tea","3.2","Cafe","Vietnam","313A7/12_Ap_1","Binh_Chanh","20,000 "
"Light_Coffee_-_Ca_Phe_Da_Tinh_Khiet_-_Duong_So_6","4.1","Cafe","Vietnam","21_Duong_So_6,_KDC_Greenlife_13C,_Xa_Phong_Phu","Binh_Chanh","20,000 "
"Phuong_Dong_Coffee","3.8","Cafe","Vietnam","Quoc_Lo_50,_Xa_Phong_Phu","Binh_Chanh","20,000 "
"Banh_Trang_Ba_So","3.8","Street_food","Vietnam","F8/34_Ap_6,_Vinh_Loc,_Xa_Vinh_Loc_A","Binh_Chanh","15,000 "
"Saka_-_Tra_Sua_&_Mi_Cay","3.8","Bistro","Vietnam","C1/3L_Bui_Thanh_Khiet,_TT._Tan_Tuc","Binh_Chanh","27,500 "
"Quan_Chay_Tinh_Tam_Sen_-_Binh_Chanh","3.8","Vegetarian","Vietnam","A26/8_Quoc_Lo_50,_P._Binh_Hung","Binh_Chanh","85,000 "
"Quan_Hu_Tieu_Anh_Cuong","3.45","Bistro","Vietnam","E10/3_Dinh_Van_Uoc,_Xa_Hung_Long","Binh_Chanh","20,000 "
"ChaCha_Tea_&_Food","3.45","Cafe","Vietnam","Cho_Phong_Phu,_Quoc_Lo_50","Binh_Chanh","30,000 "
"Che_Thanh_Thao","3.45","Street_food","Vietnam","B4/34B_Vo_Van_Van,_Ap_Vinh_Loc_B","Binh_Chanh","15,000 "
"Bun_Dau_A_Boo","3.45","Bistro","Vietnam","75_Duong_So_5,_KDC_Trung_Son,_Xa_Binh_Hung","Binh_Chanh","45,000 "
"Banh_Mi_Ngoc_Thu","4.25","Street_food","Vietnam","1542_Tran_Dai_Nghia","Binh_Chanh","15,000 "
"Minh_229_-_Lau_Bo,_Lau_Hai_San_&_Cac_Mon_Nhau_Binh_Dan","4.25","Bistro","Vietnam","227_Duong_So_9A,_Xa_Binh_Hung","Binh_Chanh","102,500 "
"Quan_Ngoc_-_Tra_Sua_&_An_Vat","4.25","Cafe","Vietnam","44_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","12,500 "
"Banh_Trang_Kim_Ngan_-_Shop_Online","4.25","Shop_Online","Vietnam","C11/37A4_Pham_Hung,_X._Binh_Hung","Binh_Chanh","30,000 "
"Mi_Cay_Te_Lua_-_Tran_Van_Giau","3.3","Bistro","Vietnam","2A3_Tran_Van_Giau","Binh_Chanh","30,000 "
"Quan_Dung_-_Chan_Ga_&_Bach_Tuoc_Nuong","3.3","Street_food","Vietnam","27-29-31_Duong_So_9A","Binh_Chanh","17,500 "
"Napoli_Coffee_-_Duong_So_18","3.3","Cafe","Vietnam","26_Duong_So_18,_Khu_Dan_Cu_Him_Lam_6A","Binh_Chanh","25,000 "
"Banh_Trang_Co_Kieu","3.95","Street_food","Vietnam","F7/29I_Huong_Lo_80,_Xa_Vinh_Loc_A","Binh_Chanh","15,000 "
"Che_Thai_Tuyet_Van","3.95","Cafe","Vietnam","D6/6_Nguyen_Thi_Tu","Binh_Chanh","12,500 "
"Lucky_Tea_-_Tra_Sua_&_Sinh_To","3.15","Cafe","Vietnam","C4/20_Pham_Hung,_Ap_4,_Xa_Binh_Hung","Binh_Chanh","16,000 "
"Hao_Hao_-_Tra_Sua_&_Tra_Bi_Dao","3.15","Street_food","Vietnam","C1/26_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","10,000 "
"Tra_Sua_Doraemon_-_Duong_Lien_Ap","3.15","Cafe","Vietnam","Duong_Lien_Ap_1-2-3,_Xa_Vinh_Loc_B","Binh_Chanh","22,500 "
"Mr.Rubi_To_-_Tra_Sua","3.15","Street_food","Vietnam","C7/27B8_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","17,500 "
"Ntigi_Coffee_&_Flowers","3.15","Cafe","Vietnam","G8/26_Tran_Van_Giau,_Xa_Le_Minh_Xuan","Binh_Chanh","17,999 "
"Cafe_117","3.15","Cafe","Vietnam","B3/2K8_Ap_2","Binh_Chanh","15,000 "
"Bot_Chien,_Hu_Tieu_Xao_&_Mi_Xao","3.15","Street_food","Vietnam","146_Pham_Hung,_P._Binh_Hung","Binh_Chanh","20,000 "
"Sinh_To_&_Nuoc_Ep_-_Quoc_Lo_50","3.15","Cafe","Vietnam","A11/09D_Quoc_Lo_50","Binh_Chanh","12,500 "
"Trai_Cay_To_Suri","3.6","Street_food","Vietnam","C7/7A1_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","16,000 "
"Freshway_-_Food_&_Drink","4.8","Cafe","Vietnam","157_-_159_Duong_9A,_Xa_Binh_Hung","Binh_Chanh","61,000 "
"Tra_Sua_Kim_-_Duong_So_1","4","Street_food","Vietnam","171_Duong_So_1,_Xa_Binh_Hung","Binh_Chanh","24,500 "
"Loi_Xua_Cafe","3.9","Cafe","Vietnam","27_-_29_Duong_So__1B,_KDC_Trung_Son","Binh_Chanh","28,500 "
"Ngoc_Van_Cafe_San_Vuon","4.6","Cafe","Vietnam","B14/10C_Cay_Cam,_Ap_2,_Xa_Vinh_Loc_B","Binh_Chanh","15,000 "
"Canh_Bun_-_Hoang_Phan_Thai","3.25","Bistro","Vietnam","Hoang_Phan_Thai","Binh_Chanh","14,500 "
"Napoli_Coffee_-_Pham_Hung","3.6","Cafe","Vietnam","Sieu_Thi_Satra_Pham_Hung","Binh_Chanh","13,500 "
"Ahihi_-_Tra_Sua_&_An_Vat_-_Huynh_Van_Tri","3.9","Street_food","Vietnam","Huynh_Van_Tri","Binh_Chanh","31,000 "
"Banh_Mi_Hong_Lan","3.65","Street_food","Vietnam","C1/18_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","16,000 "
"Chao_Dinh_Duong_Viet_Soup_-_QL_50","4.5","Bistro","Vietnam","A6/16_Quoc_Lo_50,_Binh_Hung","Binh_Chanh","21,000 "
"LiBiCha_-_Milk_Tea_&_Coffee","3.65","Cafe","Vietnam","F9/18A2_Huong_Lo_80,_Xa_Vinh_Loc_A","Binh_Chanh","23,500 "
"Banh_Mi_Trung_&_Cha_-_Duong_So_9A","3.9","Street_food","Vietnam","309_Duong_So_9A","Binh_Chanh","13,500 "
"Quan_An_Tam_Ky_-_Bui_Thanh_Khiet","3.8","Bistro","Vietnam","145_Bui_Thanh_Khiet,_TT._Tan_Tuc","Binh_Chanh","28,500 "
"Alo_Mi_Cay","3.9","Bistro","Vietnam","106_Duong_So_7,_KDC._Trung_Son","Binh_Chanh","33,500 "
"Hi_Tea_-_Tra_Sua_Delivery","3.9","Cafe","Vietnam","P8_-_16_Duong_So_4,_KDC_6B_Intresco","Binh_Chanh","21,000 "
"Bo_Ne_-_C1/52_Pham_Hung","4","Bistro","Vietnam","C1/52_Pham_Hung","Binh_Chanh","19,500 "
"4_Mua_Cafe","3.2","Cafe","Vietnam","Duong_So_4,_P._Binh_Hung","Binh_Chanh","13,500 "
"Sang_Cafe","3.8","Cafe","Vietnam","253_Duong_So_9A,_KDC_Trung_Son,_Xa_Binh_Hung","Binh_Chanh","23,500 "
"Lucky_Cafe_-_Duong_So_10","2.9","Cafe","Vietnam","46_Duong_So_10,_KDC_Binh_Hung","Binh_Chanh","23,500 "
"Pappa_Roti_-_Satra_Pham_Hung","3.95","Street_food","Malaysia","C7/27B8_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","16,000 "
"Tra_Sua_Thai_Nha_Lam_-_Shop_Online","3.15","Shop_Online","Thailand","Hem_C3_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","13,500 "
"Hoi_An_Pho_Coffee","3.15","Cafe","Vietnam","D15/24H_Vo_Van_Van,_Ap_4,_X._Vinh_Loc_B","Binh_Chanh","13,500 "
"Lo_Banh_Mi_Hoang_Hao","3.4","Bakery","Vietnam","C10/3A_Pham_Hung,_Xa_Binh_Hung","Binh_Chanh","136,500 "
"Sanh_Ca_Phe","3.95","Cafe","Vietnam","62_Duong_So_9A,_Xa_Binh_Hung","Binh_Chanh","26,500 "
"Si_Gon_Cafe","3.95","Cafe","Vietnam","Duong_So_5,_Xa_Binh_Hung","Binh_Chanh","19,000 "
"Dat_Sai_Gon_Cafe_-_Duong_So_5","3.9","Cafe","Vietnam","8_Duong_So_5","Binh_Chanh","19,500 "
"The_Feine_Cafe","3.65","Cafe","Vietnam","33_Duong_So_4,_KDC_Trung_Son,_Xa_Binh_Hung","Binh_Chanh","22,500 "
"1999_Steak_-_Nha_Hang_Beef_Steak","4.5","Bistro","Vietnam","28_Duong_So_7,_Xa_Binh_Hung","Binh_Chanh","107,500 "
"Quan_333_-_Com_Binh_Dan","3.25","Bistro","Vietnam","D20/28_Vo_Van_Van,_Ap_4,_Xa_Vinh_Loc_B","Binh_Chanh","17,500 "
